EstablishmentNumber,StartDate,EnterpriseNumber
2.000.286.785,01-03-1965,0404.169.405
2.000.286.983,16-01-1965,0405.581.546
2.000.287.775,01-01-1959,0400.769.653
2.000.287.973,01-01-1965,0404.372.907
2.000.288.369,01-03-1965,0404.384.288
2.000.289.755,01-01-1965,0405.377.747
2.000.289.854,01-01-1965,0405.230.960
2.000.291.438,15-03-1965,0404.624.414
2.000.292.230,01-04-1965,0404.609.863
2.000.293.418,01-02-1965,0402.117.260
2.000.293.517,01-01-1965,0403.424.978
2.000.294.012,01-01-1965,0400.878.729
2.000.294.210,01-03-1965,0402.226.336
2.000.294.507,01-11-1964,0403.375.488
2.000.295.101,01-02-1965,0404.810.989
2.000.295.990,01-01-1967,0720.140.371
2.000.296.881,01-04-1965,0403.227.614
2.000.296.980,01-09-1968,0403.227.614
2.000.297.178,01-01-1965,0403.020.449
2.000.297.574,01-02-1965,0403.529.304
2.000.297.871,01-02-1965,0402.824.172
2.000.298.465,01-02-1965,0400.727.289
2.000.298.861,01-02-1965,0402.799.527
2.000.299.356,01-03-1965,0564.130.521
2.000.300.148,01-03-1965,0403.571.468
2.000.300.346,01-01-1965,0401.338.785
2.000.301.435,01-03-1965,0401.170.917
2.000.302.029,06-10-1983,0696.154.449
2.000.306.086,01-01-1965,0404.013.710
2.000.306.482,01-03-1965,0531.447.954
2.000.306.779,01-02-1965,0405.481.180
2.000.307.670,01-04-1965,0524.054.376
2.000.307.769,01-01-1965,0404.032.714
2.000.308.066,01-01-1965,0405.197.902
2.000.309.155,01-04-1965,0515.095.932
2.000.309.353,23-07-2001,0404.195.238
2.000.309.551,01-01-1965,0405.295.692
2.000.309.848,01-08-1970,0401.472.211
2.000.309.947,01-03-1971,0401.472.211
2.000.310.046,01-06-1972,0401.472.211
2.000.310.145,01-09-1972,0401.472.211
2.000.310.244,01-02-1964,0401.472.211
2.000.310.343,01-12-1972,0401.472.211
2.000.311.531,01-03-1965,0405.621.732
2.000.312.422,01-03-1965,0609.291.147
2.000.312.521,01-05-1965,0609.291.147
2.000.313.610,01-04-1965,0655.021.204
2.000.313.808,01-06-1966,0404.040.434
2.000.314.402,01-04-1965,0529.231.208
2.000.314.501,01-03-1965,0402.767.358
2.000.315.291,01-04-1965,0513.020.429
2.000.315.390,01-03-1967,0404.790.797
2.000.315.489,01-03-1965,0405.714.178
2.000.315.588,04-03-1999,0405.714.178
2.000.315.786,01-04-1982,0734.070.264
2.000.315.984,01-01-1965,0405.006.771
2.000.316.182,01-01-1965,0400.130.641
2.000.316.281,01-03-1965,0642.361.516
2.000.316.776,01-03-1965,0400.023.941
2.000.317.766,01-04-1965,0605.660.971
2.000.317.964,01-03-1965,0607.249.296
2.000.318.063,01-02-1965,0591.030.403
2.000.319.251,15-05-1992,0782.046.365
2.000.319.548,01-03-1967,0635.254.186
2.000.320.439,14-02-1991,0400.934.553
2.000.321.528,01-01-1965,0404.399.829
2.000.321.825,19-12-1997,0405.105.949
2.000.323.409,01-03-1965,0401.514.177
2.000.325.486,01-07-1973,0520.307.604
2.000.325.684,01-01-1965,0403.588.096
2.000.325.882,01-01-1965,0570.404.342
2.000.326.971,27-06-2002,0404.868.892
2.000.327.367,01-03-1965,0403.872.861
2.000.327.565,01-10-1963,0402.507.933
2.000.327.664,01-01-1965,0401.201.106
2.000.327.862,01-04-1965,0402.103.701
2.000.327.961,01-02-1960,0401.138.748
2.000.329.545,01-01-1965,0404.646.089
2.000.329.842,01-03-1965,0403.649.860
2.000.331.327,12-07-1999,0529.365.820
2.000.331.822,01-03-1965,0404.613.625
2.000.331.921,01-12-1964,0404.504.549
2.000.335.285,01-03-1967,0615.314.550
2.000.335.384,01-04-1965,0523.125.057
2.000.336.869,01-02-1965,0402.763.301
2.000.337.166,23-04-2002,0400.786.677
2.000.337.265,01-01-1960,0529.313.162
2.000.337.364,01-11-1966,0529.313.162
2.000.337.562,01-02-1965,0404.335.491
2.000.338.453,01-03-1965,0402.337.885
2.000.338.651,01-02-1965,0402.293.939
2.000.338.750,01-04-1965,0652.322.624
2.000.338.849,24-08-1989,0402.287.704
2.000.340.037,01-01-1965,0401.406.883
2.000.340.334,01-04-1965,0570.207.867
2.000.341.027,01-04-1965,0590.046.842
2.000.341.324,01-01-1967,0401.185.367
2.000.341.720,01-03-1965,0404.378.647
2.000.341.918,01-09-1965,0406.061.794
2.000.343.995,01-02-1967,0400.737.979
2.000.345.777,01-01-1965,0404.917.590
2.000.346.470,01-05-1965,0404.923.332
2.000.346.866,01-04-1965,0402.387.474
2.000.347.163,01-03-1967,0405.566.601
2.000.348.648,01-05-1965,0401.868.921
2.000.348.747,01-03-1965,0558.078.711
2.000.352.014,01-03-1965,0403.167.335
2.000.356.071,01-04-1965,0583.493.404
2.000.356.170,01-12-1966,0405.434.066
2.000.356.764,01-02-1965,0405.049.135
2.000.356.962,01-04-1967,0521.455.568
2.000.357.160,01-11-1910,0401.156.366
2.000.357.259,01-01-1976,0401.156.366
2.000.357.358,01-11-1910,0401.156.366
2.000.357.952,01-01-1965,0401.126.177
2.000.358.249,01-05-1965,0625.444.023
2.000.359.932,01-03-1965,0401.600.289
2.000.360.031,04-06-1993,0401.600.289
2.000.360.130,01-04-1971,0401.600.289
2.000.361.021,01-01-1965,0405.889.570
2.000.361.120,01-03-1965,0401.557.828
2.000.361.813,01-04-1965,0735.286.526
2.000.362.704,01-09-1964,0405.075.463
2.000.365.078,01-03-1967,0532.441.314
2.000.365.474,01-04-1965,0522.356.381
2.000.365.672,01-04-1965,0531.659.473
2.000.369.731,01-04-1965,0521.175.852
2.000.370.028,01-02-1967,0403.628.678
2.000.371.117,01-01-1965,0401.467.954
2.000.371.612,01-01-1965,0400.772.326
2.000.371.711,06-03-1965,0402.453.295
2.000.372.503,01-04-1965,0404.965.595
2.000.372.897,01-01-1965,0403.730.826
2.000.373.392,01-03-1995,0404.535.629
2.000.373.491,01-05-1965,0511.313.130
2.000.373.788,01-11-1964,0404.981.730
2.000.374.778,01-03-1965,0404.066.564
2.000.375.471,01-04-1965,0401.108.757
2.000.376.857,05-05-1994,0533.527.714
2.000.376.956,01-04-1965,0533.527.714
2.000.377.055,18-06-1991,0533.527.714
2.000.377.748,10-12-2001,0400.033.542
2.000.378.342,01-04-1967,0620.329.450
2.000.379.233,30-06-1983,0714.319.975
2.000.379.332,19-03-1987,0714.319.975
2.000.379.431,19-03-1987,0714.319.975
2.000.379.530,01-05-1965,0714.319.975
2.000.380.520,01-05-1965,0617.651.755
2.000.381.114,01-02-1957,0592.427.696
2.000.382.401,01-04-1965,0405.181.668
2.000.383.488,01-05-1965,0533.256.312
2.000.383.587,01-04-1965,0405.376.064
2.000.386.359,25-08-1997,0552.016.409
2.000.387.151,01-04-1965,0402.168.532
2.000.387.646,21-06-2000,0402.177.044
2.000.388.834,01-09-1964,0577.818.607
2.000.390.616,01-04-1965,0400.643.454
2.000.390.715,02-03-1981,0587.617.783
2.000.390.913,01-04-1967,0581.340.596
2.000.393.089,20-10-1980,0690.207.161
2.000.395.465,02-04-1991,0533.020.344
2.000.396.356,01-06-1965,0575.021.938
2.000.396.653,01-07-1965,0679.219.140
2.000.396.752,01-08-1988,0679.219.140
2.000.397.940,01-04-1973,0404.194.644
2.000.398.633,01-02-1965,0405.785.246
2.000.398.732,01-02-1965,0405.785.246
2.000.398.930,04-10-1999,0540.047.302
2.000.399.128,01-02-1965,0401.821.906
2.000.399.425,17-11-1980,0603.687.319
2.000.399.623,01-01-1965,0401.768.456
2.000.400.019,01-12-1964,0404.516.823
2.000.402.987,01-05-1965,0703.130.333
2.000.404.868,01-03-1965,0403.148.628
2.000.405.957,01-02-1965,0404.722.503
2.000.406.056,01-05-1965,0404.724.283
2.000.406.551,01-04-1965,0403.464.075
2.000.406.650,01-04-1965,0403.464.075
2.000.407.145,01-04-1965,0400.248.229
2.000.407.442,01-03-1965,0404.175.046
2.000.408.729,01-11-1966,0405.669.044
2.000.409.719,01-10-1964,0575.408.552
2.000.410.610,01-03-1965,0402.853.668
2.000.412.093,01-03-1967,0401.968.196
2.000.413.182,01-02-1965,0401.339.478
2.000.413.875,27-06-1994,0400.750.847
2.000.414.766,01-03-1965,0405.860.569
2.000.415.261,01-01-1965,0406.018.145
2.000.415.459,01-05-1965,0405.795.045
2.000.416.152,01-02-1965,0400.765.693
2.000.416.251,01-02-1965,0400.765.693
2.000.417.241,01-04-1965,0404.922.936
2.000.418.132,01-04-1965,0406.363.979
2.000.418.231,26-04-1989,0401.778.750
2.000.418.330,10-08-2001,0401.778.750
2.000.421.892,01-11-1997,0654.660.423
2.000.422.189,01-03-1967,0710.174.216
2.000.422.882,01-04-1965,0402.302.946
2.000.423.476,01-06-1965,0530.288.409
2.000.423.674,01-06-1965,0525.292.117
2.000.423.773,01-12-1974,0525.292.117
2.000.423.872,18-11-1978,0525.292.117
2.000.427.040,01-06-1965,0733.089.574
2.000.427.139,01-04-1972,0733.089.574
2.000.428.228,01-04-1967,0522.304.220
2.000.428.426,01-04-1965,0405.764.163
2.000.428.624,01-01-1967,0400.661.171
2.000.428.723,01-05-1963,0400.410.456
2.000.429.020,01-01-1967,0400.984.538
2.000.430.307,05-01-1965,0400.634.744
2.000.430.703,01-03-1965,0400.959.693
2.000.431.097,01-05-1965,0576.577.995
2.000.431.196,01-01-1961,0709.285.675
2.000.431.493,01-03-1967,0572.377.006
2.000.432.087,01-06-1965,0570.547.961
2.000.432.285,01-07-1965,0580.581.127
2.000.432.879,01-03-1954,0404.011.136
2.000.434.364,21-05-1965,0404.985.787
2.000.434.958,01-12-1964,0401.218.130
2.000.435.651,01-03-1967,0401.868.624
2.000.435.750,01-02-1967,0403.424.186
2.000.436.641,24-01-1978,0527.171.244
2.000.436.839,01-04-1966,0874.832.607
2.000.436.938,01-05-1965,0401.166.561
2.000.439.710,01-04-1965,0405.380.618
2.000.440.205,01-05-1965,0618.263.449
2.000.440.797,01-05-1965,0400.090.950
2.000.441.787,01-07-1965,0615.369.978
2.000.441.886,01-03-1969,0615.369.978
2.000.442.480,01-06-1965,0400.311.674
2.000.445.351,01-05-1965,0401.414.308
2.000.446.341,01-01-1967,0404.406.163
2.000.446.440,01-07-1965,0604.395.419
2.000.447.034,01-06-1965,0400.276.735
2.000.448.024,01-05-1965,0400.156.969
2.000.448.222,01-01-1965,0400.162.612
2.000.448.321,01-12-1947,0400.105.796
2.000.449.806,01-06-1965,0400.421.839
2.000.449.905,01-05-1965,0401.945.333
2.000.455.348,13-11-1995,0403.342.232
2.000.455.645,16-09-1993,0400.517.750
2.000.457.328,01-03-1965,0403.998.565
2.000.457.427,01-05-1965,0402.891.577
2.000.458.516,01-07-1965,0517.168.564
2.000.458.615,17-02-1981,0517.168.564
2.000.459.407,01-07-1965,0521.073.805
2.000.460.001,01-05-1965,0401.753.907
2.000.461.187,01-10-1967,0402.754.391
2.000.462.276,01-05-1965,0530.558.029
2.000.463.365,01-04-1965,0405.797.718
2.000.463.662,01-05-1965,0402.335.907
2.000.463.761,01-01-1965,0617.267.319
2.000.464.949,01-06-1965,0401.221.197
2.000.465.048,01-06-1965,0401.221.197
2.000.465.444,01-08-1965,0626.494.096
2.000.466.335,01-03-1965,0401.786.866
